channel_name,first_touch_conversions,first_touch_value,last_touch_conversions,last_touch_value,linear_touch_conversions,linear_touch_value,markov_model_conversions,markov_model_value
Bing Paid Search,617.0,311275.4400000001,664.0,347564.36000000004,642.9583694083699,329367.79040656576,731.4850768321513,377093.7129774237
Direct,1637.0,813278.7499999991,1580.0,795626.9400000011,1596.3365079365228,802816.9212499997,1618.0107368006304,818234.9776998236
Google Paid Search,2695.0,1351539.4200000004,2714.0,1360953.7400000007,2729.4096681096576,1368335.8562968965,2371.580082742317,1187949.0898859575
Online Display,1724.0,872649.4700000006,1731.0,860844.18,1724.6794733044785,867528.4777712852,1728.4320823483058,861957.612626541
Instagram,1303.0,659218.7699999999,1317.0,655892.3299999997,1296.996067821073,653500.9353787873,1375.0837765957447,688394.4942263212
Email,380.0,197951.52000000005,381.0,199516.95999999996,375.3385281385282,192402.8152716449,442.58678092986605,227532.8693506659
Organic Search,795.0,396962.1100000003,764.0,382476.97000000003,785.2813852813853,388922.6836248198,883.821463750985,441712.7232332672
